,File_Name,Type,Spatial_Freq,Likability,Mechano_Humanness
0,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,Human,BSF,"[28.70370370370369, -28.51851851851852, 81.4814814814815, 72.77777777777777]","[98.51851851851852, 87.68518518518518, 91.2037037037037, 92.12962962962963]"
1,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,Human,BSF,"[42.96296296296296, -45.74074074074075, 78.70370370370372, 67.96296296296296]","[83.51851851851852, 43.888888888888886, 87.31481481481482, 90.55555555555556]"
2,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-53.888888888888886, -24.25925925925925, -26.666666666666657, 72.59259259259258]","[67.77777777777779, 59.62962962962963, 66.01851851851852, 47.03703703703704]"
3,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,Human,LSF,"[-39.62962962962963, -40.0, 30.740740740740733, 54.25925925925927]","[56.2962962962963, 7.685185185185183, 43.61111111111112, 91.11111111111111]"
4,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-41.11111111111111, -2.037037037037038, 63.51851851851853, 70.18518518518516]","[75.55555555555556, 47.68518518518518, 92.5925925925926, 94.07407407407408]"
5,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,Human,BSF,"[35.37037037037035, -17.777777777777786, 71.48148148148147, 67.22222222222223]","[74.44444444444444, 21.48148148148148, 75.55555555555556, 87.4074074074074]"
6,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,Human,BSF,"[58.888888888888914, -6.296296296296305, 82.03703703703704, 59.25925925925927]","[95.92592592592592, 61.48148148148148, 95.27777777777776, 89.16666666666666]"
7,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,Human,BSF,"[54.07407407407408, 5.185185185185176, 61.66666666666666, 67.22222222222223]","[100.0, 52.59259259259259, 91.85185185185183, 90.2777777777778]"
8,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,Human,HSF,"[18.70370370370371, -31.29629629629629, -27.777777777777786, 47.03703703703704]","[67.77777777777779, 76.38888888888889, 74.44444444444444, 91.94444444444446]"
9,matched-32-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,Human,HSF,"[31.48148148148149, -6.666666666666671, 51.481481481481495, 56.481481481481495]","[74.53703703703704, 70.92592592592592, 87.03703703703704, 90.1851851851852]"
