Type,Spatial_Frequency,filepath,file_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,whole_image.started,image.started,forehead.started,eyes.started,nose.started,mouth.started,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,0,0,37,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c74.jpeg,matched-8-cpi-low-c74.jpeg,0,1,1,26,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,2,2,29,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,3,3,6,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,4,4,30,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,5,5,1,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c71.jpeg,matched-32-cpi-low-c71.jpeg,0,6,6,39,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,7,7,28,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,8,8,13,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,9,9,0,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c64.jpeg,matched-32-cpi-low-c64.jpeg,0,10,10,34,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c74.jpeg,matched-c74.jpeg,0,11,11,11,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,12,12,2,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c69.jpeg,matched-8-cpi-low-c69.jpeg,0,13,13,23,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,14,14,18,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,15,15,4,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,16,16,19,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
