Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.509250799994334,25.509250799994334,space,1.3351106999907643,,,,,,,,,,,,,,,,,,,,,,,,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,0,0,40,,,,,1.2899996363557875e-05,1.2899996363557875e-05,27.87667230000079,27.87667230000079,1,[0.0006465000042226166],[0.9872898000030546],28.89044279999507,28.89044279999507,30.356082099999185,1.4780390999949304,28.703703703703695,1.447934299998451,[0.5009259259259259],[-0.425],[1],[0],[0],[1.1517756999965059],['image'],1.410000550094992e-05,,,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,1,1,36,,,,,,,32.988885700004175,32.988885700004175,1,[0.000574699995922856],[0.9928348999965237],33.99126969999634,33.99126969999634,34.82263310000417,0.8144864000059897,42.96296296296296,0.812719499997911,[0.524074074074074],[-0.47129629629629627],[1],[0],[0],[0.6158676000050036],['image'],1.2699994840659201e-05,33.99126969999634,33.99126969999634,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,2,2,11,,,,,,,36.92520030000014,36.92520030000014,1,[0.0004025999951409176],[0.9965044999989914],37.92467459999898,37.92467459999898,40.27469069999643,2.33474349998869,-53.888888888888886,3.9957449000066845,"[-0.26944444444444443, 0.49444444444444446]","[-0.09537037037037037, -0.4083333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.5981071999995038, 2.181335899993428]",['image'],1.7700003809295595e-05,37.92467459999898,37.92467459999898,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,3,3,12,,,,,,,43.9375757999951,43.9375757999951,1,[0.00045539998973254114],[0.9926081000012346],44.94119499999215,44.94119499999215,46.53910090000136,1.5813663000008091,-39.62962962962963,1.5808355000044685,[0.5842592592592593],[-0.46574074074074073],[1],[0],[0],[0.6854175999906147],['image'],1.4099990949034691e-05,44.94119499999215,44.94119499999215,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,4,4,0,,,,,,,48.724580900001456,48.724580900001456,1,[0.01348860000143759],[1.0134053000074346],49.72432090000075,49.72432090000075,51.991150100002415,2.264344399998663,-41.11111111111111,2.249426599999424,[0.4722222222222222],[-0.43148148148148147],[1],[0],[0],[0.5667719000048237],['image'],1.479999627918005e-05,49.72432090000075,49.72432090000075,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,5,5,44,,,,,,,54.05771939999249,54.05771939999249,1,[0.013432399995508604],[1.010899300003075],55.0720003000024,55.0720003000024,56.39103389999946,1.331710500002373,35.37037037037035,1.3031939000065904,[0.4685185185185185],[-0.4027777777777778],[1],[0],[0],[0.4340358999907039],['image'],1.4700010069645941e-05,,,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,6,6,41,,,,,,,58.324300599997514,58.324300599997514,2,"[0.009263200001441874, 0.4569463999941945]","[0.4404162999999244, 1.0069121999986237]",59.33891789999325,59.33891789999325,60.105298599999514,0.7785747000016272,58.888888888888914,0.7485914999997476,[0.48703703703703705],[-0.41203703703703703],[1],[0],[0],[0.5021585999929812],['image'],1.2200005585327744e-05,,,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,7,7,31,,,,,,,62.107615799992345,62.107615799992345,1,[0.3091814999934286],[1.0069340999907581],63.1203000999958,63.1203000999958,63.93859560000419,0.8277612000092631,54.074074074074076,0.7998072000045795,[0.4324074074074074],[-0.4111111111111111],[1],[0],[0],[0.5853990000032354],['image'],1.2299991794861853e-05,,,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,8,8,28,,,,,,,66.00786569999764,66.00786569999764,1,[0.00046350000775419176],[0.9966758000082336],67.0071450999967,67.0071450999967,67.97186079999665,0.9482305999990785,18.70370370370371,0.9458262999978615,[0.487962962962963],[-0.4185185185185185],[1],[0],[0],[0.49900650000199676],['image'],1.4999997802078724e-05,67.0071450999967,67.0071450999967,,,VYV,001,2023-04-16_21h41.58.414,Human_uncanny,2022.2.5,60.22753964380267,
