Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.03192300000228,30.03192300000228,space,1.8990481999935582,,,,,,,,,,,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c71.jpeg,matched-c71.jpeg,0,0,0,9,,,,,1.4099990949034691e-05,1.4099990949034691e-05,32.97140939999372,32.97140939999372,1,[0.0006687000277452171],[0.9736990000237711],11.666666666666671,1.1833446000237018,1.1800031643360853e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,1,1,89,,,,,,,37.00467270001536,37.00467270001536,1,[0.013084600039292127],[1.0107761000399478],5.185185185185176,1.2815567000070587,1.4999997802078724e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,2,2,20,,,,,,,41.121137899986934,41.121137899986934,1,[0.0005285999504849315],[0.9946450999705121],-5.925925925925924,1.131744600017555,1.3000040780752897e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,3,3,33,,,,,,,45.087746699980926,45.087746699980926,1,[0.01485160004813224],[1.0149437000509351],6.2962962962962905,0.7137435000040568,1.4399993233382702e-05,46.085655400005635,46.085655400005635,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,4,4,84,,,,,,,48.6044160000165,48.6044160000165,1,[0.013168200035579503],[1.013309100002516],37.96296296296299,0.4471528999856673,1.5700003132224083e-05,49.60423240001546,49.60423240001546,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,5,5,43,,,,,,,51.82092770002782,51.82092770002782,2,"[0.0004157000221312046, 0.3447124000522308]","[0.2962532000383362, 0.9945844000321813]",56.85185185185185,0.4665991999791004,1.4199991710484028e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,6,6,37,,,,,,,55.04053220001515,55.04053220001515,2,"[0.0003951000398956239, 0.2935024000471458]","[0.02990470000077039, 1.010473100002855]",-27.40740740740742,2.181176600046456,1.209997572004795e-05,56.052027600002475,56.052027600002475,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,7,7,18,,,,,,,60.38741090003168,60.38741090003168,1,[0.012062499998137355],[1.0121671000379138],-61.29629629629629,0.49993069999618456,1.2300035450607538e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,8,8,66,,,,,,,63.723611399997026,63.723611399997026,1,[0.000450999999884516],[0.9931943999836221],13.888888888888886,0.6646718999836594,1.290004001930356e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,9,9,16,,,,,,,67.23741729999892,67.23741729999892,1,[0.010905499977525324],[1.0112071000039577],-53.70370370370371,0.8168240000377409,1.3299984857439995e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,10,10,69,,,,,,,70.92057409998961,70.92057409998961,1,[0.0129564999951981],[1.012921599962283],8.703703703703695,0.46659809997072443,1.3999990187585354e-05,71.92043240001658,71.92043240001658,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,11,11,35,,,,,,,74.15693890000694,74.15693890000694,2,"[0.00047470000572502613, 0.37623419996816665]","[0.34275299997534603, 1.0077516000019386]",-18.33333333333333,0.45137399999657646,1.279998105019331e-05,75.16829250002047,75.16829250002047,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,12,12,58,,,,,,,77.55377250001766,77.55377250001766,1,[0.013328400033060461],[1.0131507000187412],-7.7777777777777715,0.6827015000162646,1.2200034689158201e-05,78.55357839999488,78.55357839999488,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,13,13,31,,,,,,,80.98493000003509,80.98493000003509,1,[0.00047480000648647547],[0.9963056000415236],-7.592592592592595,1.081366700003855,1.3100041542202234e-05,81.98500220000278,81.98500220000278,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
