Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.50683659996139,34.50683659996139,space,1.1646430999971926,,,,,,,,,,,,,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg,0,0,0,74,,,,,1.2800039257854223e-05,1.2800039257854223e-05,36.6964865999762,36.6964865999762,37.69629950000672,37.69629950000672,1,[0.0005508000031113625],[0.9906067000119947],25.0,1.499799899989739,1.3199984095990658e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c76.jpeg,matched-8-cpi-low-c76.jpeg,0,1,1,27,,,,,,,41.031930700002704,41.031930700002704,42.03203309996752,42.03203309996752,1,[0.0003992000129073858],[0.996693100023549],-21.48148148148148,1.6165101999649778,1.190003240481019e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,2,2,41,,,,,,,45.46813519997522,45.46813519997522,46.47975379996933,46.47975379996933,1,[0.00039739999920129776],[1.0102766000200063],-19.629629629629633,0.6804832000052556,1.1899974197149277e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,3,3,45,,,,,,,48.99854589998722,48.99854589998722,49.99628919997485,49.99628919997485,1,[0.0004097999772056937],[0.9963438999839127],-57.77777777777777,0.5492843000101857,1.580000389367342e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,4,4,59,,,,,,,52.39824539999245,52.39824539999245,53.396192999964114,53.396192999964114,1,[0.0004692000220529735],[0.9963903999887407],46.85185185185185,0.3860933000105433,1.550000160932541e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,5,5,73,,,,,,,55.581527500005905,55.581527500005905,,,1,[0.013593900017440319],[1.0124945000279695],54.074074074074076,0.43310439999913797,1.1999974958598614e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,6,6,50,,,,,,,58.7676647999906,58.7676647999906,59.78145529999165,59.78145529999165,1,[0.00038159999530762434],[1.010176900017541],7.592592592592595,0.6477451000246219,1.2200034689158201e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,7,7,76,,,,,,,62.19823949999409,62.19823949999409,63.195912099967245,63.195912099967245,1,[0.0003234000178053975],[0.9969886000035331],-52.22222222222223,0.7853409000090323,1.190003240481019e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,8,8,4,,,,,,,65.84807209996507,65.84807209996507,,,1,[0.013516200007870793],[1.0118067000294104],-89.07407407407408,2.066924899991136,1.2599979527294636e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg,0,9,9,67,,,,,,,70.83411559998058,70.83411559998058,71.84575039998163,71.84575039998163,1,[0.00037180003710091114],[1.0104128000093624],-67.96296296296296,0.780121700023301,1.4099990949034691e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg,0,10,10,79,,,,,,,74.4788705999963,74.4788705999963,75.47895560000325,75.47895560000325,1,[0.0004404000355862081],[0.9964949000277556],-50.74074074074074,0.4324198000249453,1.3299984857439995e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
