,experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,eye,gaze_x,gaze_y,gaze_z,eye_cam_x,eye_cam_y,eye_cam_z,angle_x,angle_y,raw_x,raw_y,pupil_measure1,pupil_measure1_type,pupil_measure2,pupil_measure2_type,ppd_x,ppd_y,velocity_x,velocity_y,velocity_xy,status
0,1,1,0,316,51,80901.7026546,22.539293199995882,22.402322700014338,-1.0,0.1369705,0,21,-0.11203704,0.022222223,0.0,-6.4139075,-0.8243187,37.0022,-1.4370883,1.9673492,0.18553919,0.80048406,46.460155,74,3.9205334,77,0.0,0.0,0.0,0.0,0.0,0
1,1,1,0,317,51,80901.7105976,22.539293199995882,22.4102657000185,-1.0,0.1290275,0,21,-0.11111111,0.026851851,0.0,-6.4139075,-0.8243187,37.0022,-1.4378197,1.9687777,0.18551771,0.80046946,46.465473,74,3.920862,77,0.0,0.0,0.0,0.0,0.0,0
2,1,1,0,318,51,80901.7184966,22.539293199995882,22.418164700022317,-1.0,0.1211285,0,21,-0.108333334,0.027777778,0.0,-6.4139075,-0.8243187,37.0022,-1.439507,1.9687611,0.184639,0.800606,46.687473,74,3.939959,77,0.0,0.0,0.0,0.0,0.0,0
3,1,1,0,319,51,80901.7266136,22.576244800002314,22.426281700012623,-1.0,0.1499631,0,21,-0.10277778,0.025925925,0.0,-6.4139075,-0.8243187,37.0022,-1.4386624,1.9698547,0.18485886,0.80055666,46.664318,74,3.9376247,77,0.0,0.0,0.0,0.0,0.0,0
4,1,1,0,320,51,80901.7346286,22.576244800002314,22.434296700012055,-1.0,0.1419481,0,21,-0.10555556,0.025925925,0.0,-6.4139075,-0.8243187,37.0022,-1.4368422,1.970337,0.18611953,0.8001747,46.924404,74,3.9597902,77,0.0,0.0,0.0,0.0,0.0,0
5,1,1,0,321,51,80901.7425996,22.576244800002314,22.442267700011143,-1.0,0.1339771,0,21,-0.10555556,0.035185184,0.0,-6.4139075,-0.8243187,37.0022,-1.4360046,1.9733629,0.18550554,0.8005776,46.871304,74,3.954469,77,0.0,0.0,0.0,0.0,0.0,0
6,1,1,0,322,51,80901.7505946,22.576244800002314,22.450262700018357,-1.0,0.1259821,0,21,-0.10277778,0.030555556,0.0,-6.4139075,-0.8243187,37.0022,-1.4381135,1.9714009,0.1856069,0.8000151,46.916325,74,3.958706,77,0.0,0.0,0.0,0.0,0.0,0
7,1,1,0,360,51,80901.7585446,24.635482199999387,22.45821270001761,-1.0,2.1772695,0,21,-0.11203704,0.033333335,0.0,-6.4139075,-0.8243187,37.0022,-1.4358981,1.9708852,0.18531515,0.80029637,46.94939,74,3.9612212,77,0.0,0.0,0.0,0.0,0.0,0
8,1,1,0,361,51,80901.7665436,24.635482199999387,22.466211700011627,-1.0,2.1692705,0,21,-0.11296296,0.036111113,0.0,-6.4139075,-0.8243187,37.0022,-1.4346968,1.9721347,0.18591471,0.8005458,47.175667,74,3.9807622,77,0.0,0.0,0.0,0.0,0.0,0
9,1,1,0,362,51,80901.7745556,24.635482199999387,22.47422370001732,-1.0,2.1612585,0,21,-0.11111111,0.031481482,0.0,-6.4139075,-0.8243187,37.0022,-1.4370475,1.9700876,0.18567872,0.80008644,47.108486,74,3.975337,77,0.0,0.0,0.0,0.0,0.0,0
