Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,26.730033300002106,26.730033300002106,space,1.1540039000101388,,,,,,,,,,,,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,0,0,3,,,,,1.479999627918005e-05,1.479999627918005e-05,28.92765430000145,28.92765430000145,1,[0.0009397999965585768],[0.9557601999840699],31.108979600016028,9.537037037037038,1.1802699999534525,1.290004001930356e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,1,1,44,,,,,,,33.19060259999242,33.19060259999242,1,[0.00042669998947530985],[0.9970696999807842],34.55898420000449,75.55555555555556,0.3492682999931276,1.3599987141788006e-05,34.19225650001317,34.19225650001317,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,2,2,17,,,,,,,36.32568250002805,36.32568250002805,1,[0.0003772000200115144],[0.9968743000063114],38.27864530001534,47.03703703703704,0.9363142999936827,1.2999982573091984e-05,37.32599520002259,37.32599520002259,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,3,3,13,,,,,,,40.123336800024845,40.123336800024845,1,[0.013399000046774745],[1.0116806000005454],41.89212530001532,56.574074074074076,0.7511053999769501,1.5900004655122757e-05,41.12349470000481,41.12349470000481,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,4,4,8,,,,,,,43.659001199994236,43.659001199994236,1,[0.0003945000353269279],[0.9967636000365019],45.49509700003546,42.407407407407405,0.8190034999861382,1.2500036973506212e-05,44.65899770002579,44.65899770002579,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,5,5,7,,,,,,,47.30882710003061,47.30882710003061,2,"[0.14994719997048378, 0.7970349999959581]","[0.249850099964533, 0.813401099992916]",48.775254300038796,55.37037037037037,0.4336188000161201,1.479999627918005e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,6,6,43,,,,,,,50.52534280001419,50.52534280001419,1,[0.000317899975925684],[0.9950331999571063],52.20860579999862,85.0,0.6500664000050165,1.260003773495555e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,7,7,41,,,,,,,54.30717670003651,54.30717670003651,1,[0.012615400017239153],[1.0126712000346743],55.85856750002131,95.27777777777777,0.532427900005132,1.1899974197149277e-05,55.3087521000416,55.3087521000416,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,8,8,11,,,,,,,57.6251493000309,57.6251493000309,1,[0.011092300002928823],[1.0133902999805287],59.091717100003734,66.01851851851852,0.4491991000249982,1.6300007700920105e-05,58.625064000021666,58.625064000021666,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
