Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.152316799998516,20.152316799998516,space,2.3219716000021435,,,,,,,,,,,,,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,0,0,73,,,,,1.2100004823878407e-05,1.2100004823878407e-05,23.498507799988147,23.498507799988147,24.49778159998823,24.49778159998823,1,[0.0005644000048050657],[0.9906179999961751],10.370370370370368,1.7479197999928147,1.5600002370774746e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c72.jpeg,matched-8-cpi-low-c72.jpeg,0,1,1,25,,,,,,,28.449048599999514,28.449048599999514,29.463396399994963,29.463396399994963,1,[0.0004434000002220273],[1.0106577000115067],7.685185185185183,0.6330158000055235,1.3900003978051245e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c37.jpeg,matched-32-cpi-low-c37.jpeg,0,2,2,86,,,,,,,32.13227379998716,32.13227379998716,33.131962799991015,33.131962799991015,1,[0.0007540999940829352],[0.9962656999996398],1.7592592592592604,1.7975276000070153,1.239999255631119e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg,0,3,3,79,,,,,,,36.965543899990735,36.965543899990735,,,1,[0.013518699997803196],[1.0111572000023443],2.870370370370373,1.0501463000109652,1.2599994079209864e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,4,4,72,,,,,,,41.18208089999098,41.18208089999098,42.19479509998928,42.19479509998928,1,[0.0005445999995572492],[1.010537000009208],9.259259259259261,0.5191506999981357,1.340000017080456e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c74.jpeg,matched-c74.jpeg,0,5,5,11,,,,,,,44.648640999992494,44.648640999992494,45.6630346999882,45.6630346999882,1,[0.00046790001215413213],[1.0103249000094365],12.037037037037035,1.402036200001021,1.309999788645655e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c72.jpeg,matched-c72.jpeg,0,6,6,10,,,,,,,48.948704799986444,48.948704799986444,,,1,[0.0003490999952191487],[0.9942129999981262],24.444444444444446,0.41654569999082014,1.2300006346777081e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,7,7,14,,,,,,,52.281901999987895,52.281901999987895,53.29465889999119,53.29465889999119,1,[0.00044889999844599515],[1.0114275999949314],51.85185185185185,0.049733799998648465,1.649999467190355e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,8,8,30,,,,,,,55.44838989998971,55.44838989998971,56.44796039999346,56.44796039999346,1,[0.46230840000498574],[0.9960095999995247],1.2962962962962954,2.032713099993998,1.550000160932541e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c76.jpeg,matched-32-cpi-low-c76.jpeg,0,9,9,42,,,,,,,60.51500079999096,60.51500079999096,,,1,[0.013228399999206886],[1.0107734999910463],50.09259259259259,0.13475879999168683,1.2499993317760527e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,10,10,48,,,,,,,63.73163999999815,63.73163999999815,64.74597509999876,64.74597509999876,1,[0.0004228999896440655],[0.8943493999977363],3.7962962962962976,0.5827195000019856,1.3600001693703234e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,11,11,83,,,,,,,67.24826169999142,67.24826169999142,68.26252759998897,68.26252759998897,1,[0.0003811000060522929],[1.010935900005279],10.185185185185187,0.6314180000044871,1.3299999409355223e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,12,12,69,,,,,,,71.24807449999207,71.24807449999207,72.24791459999688,72.24791459999688,1,[0.0003423000016482547],[0.9965796000033151],1.2962962962962954,1.0307990000001155,1.340000017080456e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,13,13,50,,,,,,,76.01491309999255,76.01491309999255,77.01495109999087,77.01495109999087,1,[0.01309360000595916],[1.01280090000364],0.8333333333333359,1.4478364000096917,1.550000160932541e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,14,14,56,,,,,,,80.814627499989,80.814627499989,,,1,[0.013358399999560788],[1.0111737999977777],0.3703703703703709,1.7688129000016488,1.2300006346777081e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c36.jpeg,matched-c36.jpeg,0,15,15,55,,,,,,,85.66466599999694,85.66466599999694,,,1,[0.013240300002507865],[1.0110413000074914],1.2962962962962954,0.9696245000086492,1.309999788645655e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,16,16,65,,,,,,,89.8310943999968,89.8310943999968,,,1,[0.013492600002791733],[1.0112344999943161],2.500000000000002,0.8020059999980731,1.2199991033412516e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,17,17,88,,,,,,,93.91426839999622,93.91426839999622,94.9287226999877,94.9287226999877,1,[0.00041349999082740396],[0.91220209999301],0.7407407407407418,0.8477792999910889,1.410000550094992e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,18,18,44,,,,,,,97.96406739999657,97.96406739999657,98.97841309999058,98.97841309999058,1,[0.0004006000090157613],[1.0109235999989323],48.61111111111111,0.3984770000097342,1.3199998647905886e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,19,19,51,,,,,,,101.36415899998974,101.36415899998974,102.3767794999876,102.3767794999876,1,[0.0004099000070709735],[1.0112102999992203],52.87037037037037,1.4491336999926716,1.2799995602108538e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,20,20,18,,,,,,,105.68074599999818,105.68074599999818,,,1,[0.01286110001092311],[1.0106760000053328],14.166666666666666,0.46789880000869744,1.2499993317760527e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg,0,21,21,67,,,,,,,109.6139131999953,109.6139131999953,110.60979099999531,110.60979099999531,1,[0.00034729999606497586],[0.9962970000051428],11.203703703703704,0.46404859999893233,1.2899996363557875e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,22,22,46,,,,,,,113.29726409999421,113.29726409999421,114.31002589999116,114.31002589999116,1,[0.00039260000630747527],[1.0112140999990515],8.796296296296296,0.5326961999962805,1.3199998647905886e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c33.jpeg,matched-c33.jpeg,0,23,23,53,,,,,,,116.94346719999157,116.94346719999157,117.9449045999936,117.9449045999936,1,[0.00043319999531377107],[0.9946603999997023],7.777777777777778,0.8657959000120172,1.3200013199821115e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,24,24,16,,,,,,,120.69691980000061,120.69691980000061,121.71159489999991,121.71159489999991,1,[0.00037150000571273267],[1.0113573000126053],41.01851851851852,0.633092599993688,1.3900003978051245e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,25,25,19,,,,,,,124.26367659999232,124.26367659999232,125.27809139998863,125.27809139998863,1,[0.00034890000824816525],[1.0107087000069441],20.64814814814815,0.9476194000017131,1.6699996194802225e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,26,26,66,,,,,,,128.08025149999594,128.08025149999594,129.07989709998947,129.07989709998947,1,[0.0004474000015761703],[0.9964826999930665],22.962962962962962,0.6142789000004996,1.4499993994832039e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
