Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.707299700006843,24.707299700006843,space,1.1427960000000894,,,,,,,,,,,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,0,0,80,,,,,1.3500044587999582e-05,1.3500044587999582e-05,26.867917700030375,26.867917700030375,1,[0.00060450000455603],[0.975997900008224],1.1111111111111127,1.5141404999885708,1.4399993233382702e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg,0,1,1,71,,,,,,,31.503488400019705,31.503488400019705,1,[0.0004061999497935176],[0.995482099999208],7.685185185185183,0.8183953000116162,1.260003773495555e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,2,2,50,,,,,,,35.43676820001565,35.43676820001565,1,[0.013292699994053692],[1.0132141999783926],3.98148148148148,0.6644261000328697,1.1400028597563505e-05,36.43459989997791,36.43459989997791,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,3,3,19,,,,,,,39.22005060000811,39.22005060000811,1,[0.011393900029361248],[1.0138292000046931],35.092592592592595,1.263628700049594,1.2399978004395962e-05,40.218207099998835,40.218207099998835,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c69.jpeg,matched-32-cpi-low-c69.jpeg,0,4,4,38,,,,,,,43.31987399997888,43.31987399997888,1,[0.0004417000454850495],[0.9963578000315465],53.425925925925924,0.7815954999532551,1.4100049156695604e-05,44.317914800019935,44.317914800019935,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,5,5,2,,,,,,,47.18948529998306,47.18948529998306,1,[0.0003836999530903995],[1.0103246999788098],22.59259259259259,0.6162602999829687,1.5099998563528061e-05,48.20302429998992,48.20302429998992,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg,0,6,6,74,,,,,,,50.6698189000017,50.6698189000017,1,[0.00036120001459494233],[0.9953614000114612],4.907407407407405,0.9530937999952585,1.4299992471933365e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,7,7,73,,,,,,,54.52323819999583,54.52323819999583,1,[0.011803100001998246],[1.0138529000105336],5.277777777777776,0.7830116999684833,1.3100041542202234e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,8,8,12,,,,,,,58.203282099973876,58.203282099973876,1,[0.00044299999717622995],[0.9793214999954216],67.5925925925926,0.6530655000242405,1.2300035450607538e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c12.jpeg,matched-32-cpi-low-c12.jpeg,0,9,9,77,,,,,,,62.25586259999545,62.25586259999545,1,[0.0004401999758556485],[1.0087573999771848],5.37037037037037,0.5343701000092551,1.479999627918005e-05,63.26731229998404,63.26731229998404,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,10,10,63,,,,,,,65.63647829997353,65.63647829997353,1,[0.0005954999942332506],[0.9806341000366956],3.055555555555556,0.986371299950406,1.3100041542202234e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
