Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,59.02205600007437,59.02205600007437,space,5.434011899866164,,,,,,,,,,,,,,,,,,,,,,,,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,0,0,28,,,,,1.4299992471933365e-05,1.4299992471933365e-05,65.47351530008018,65.47351530008018,66.47278599999845,66.47278599999845,1,[0.0006434998940676451],[0.9905683998949826],66.47278599999845,66.47278599999845,67.57149860006757,1.0959438998252153,36.66666666666666,1.0810667001642287,[0.4666666666666667],[-0.4009259259259259],[1],[0],[0],[0.4857650001067668],['image'],1.5799887478351593e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,1,1,29,,,,,,,69.55457969987765,69.55457969987765,70.55671839998104,70.55671839998104,1,[0.00039749988354742527],[0.9988514999859035],70.55671839998104,70.55671839998104,71.05732930009253,0.49741139984689653,35.37037037037035,0.48320159991271794,[0.49907407407407406],[-0.4046296296296296],[1],[0],[0],[0.4169099999126047],['image'],1.190020702779293e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,2,2,8,,,,,,,72.97134019993246,72.97134019993246,73.97154689999297,73.97154689999297,1,[0.0006506999488919973],[0.9966982000041753],73.97154689999297,73.97154689999297,74.59021380008198,0.6130617000162601,6.851851851851848,0.5995134999975562,[0.39351851851851855],[-0.46944444444444444],[1],[0],[0],[0.38421110017225146],['image'],1.4299992471933365e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,3,3,7,,,,,,,76.45501459995285,76.45501459995285,77.45660310005769,77.45660310005769,1,[0.00037409993819892406],[0.9996465998701751],77.45660310005769,77.45660310005769,78.1877268999815,0.7144321999512613,-25.740740740740748,0.7115474999882281,[0.5018518518518519],[-0.41759259259259257],[1],[0],[0],[0.4002275001257658],['image'],1.3899989426136017e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,4,4,2,,,,,,,80.0900149999652,80.0900149999652,,,1,[0.00037320004776120186],[0.9802433999720961],81.08995849988423,81.08995849988423,81.50413429993205,0.4145875000394881,46.296296296296305,0.3976847999729216,[0.41574074074074074],[-0.4148148148148148],[1],[0],[0],[0.3001290999818593],['image'],1.3899989426136017e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,5,5,26,,,,,,,83.30661410000175,83.30661410000175,,,1,[0.013254400109872222],[0.9989581000991166],84.30675300001167,84.30675300001167,84.69290290004574,0.3868404000531882,49.25925925925924,0.3692413999233395,[0.5009259259259259],[-0.45925925925925926],[1],[0],[0],[0.29700560006313026],['image'],1.2299977242946625e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,6,6,21,,,,,,,86.48978010006249,86.48978010006249,87.48996070004068,87.48996070004068,1,[0.01334489998407662],[1.0131526000332087],87.48996070004068,87.48996070004068,88.12102720001712,0.631685100030154,48.888888888888886,0.6140358000993729,[0.5194444444444445],[-0.44814814814814813],[1],[0],[0],[0.39814730011858046],['image'],1.5099998563528061e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,7,7,1,,,,,,,90.02098680008203,90.02098680008203,91.02087090001442,91.02087090001442,1,[0.013472700025886297],[1.0131890999618918],91.02087090001442,91.02087090001442,92.2711531999521,1.2483785999938846,13.888888888888886,1.232060099951923,[0.38055555555555554],[-0.3814814814814815],[1],[0],[0],[0.40232019987888634],['image'],1.309998333454132e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,8,8,43,,,,,,,94.17306110006757,94.17306110006757,,,2,"[0.414547499967739, 0.531359100015834]","[0.4476747000589967, 0.9961395000573248]",95.18953399988823,95.18953399988823,95.73962270002812,0.5646222000941634,54.074074074074076,0.5333048000466079,"[0.4388888888888889, 0.4388888888888889]","[-0.3527777777777778, -0.4]","[1, 1]","[0, 0]","[0, 0]","[0.38175530009903014, 0.6482677001040429]",['image'],1.840014010667801e-05,,,P11,001,2023-04-14_15h21.45.504,Human_uncanny,2022.2.5,59.91396359065018,
