Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,47.94421479999437,47.94421479999437,space,2.1228474999952596,,,,,,,,,,,,,,,,,,,,,,,,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,0,0,35,,,,,1.5099998563528061e-05,1.5099998563528061e-05,51.09070339999744,51.09070339999744,52.09016910000355,52.09016910000355,1,[0.0006155000010039657],[0.9907516999955988],52.09016910000355,52.09016910000355,53.18907059999765,1.0962787000025855,25.37037037037038,1.080770799992024,[0.5777777777777777],[-0.45555555555555555],[1],[0],[0],[0.8669509000028484],['image'],1.3600001693703234e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,1,1,34,,,,,,,55.54135790000146,55.54135790000146,56.541727699994226,56.541727699994226,1,[0.0004194999928586185],[0.9970259999972768],56.541727699994226,56.541727699994226,58.055595899990294,1.4979507999960333,27.592592592592595,1.4952926999976626,[0.4777777777777778],[-0.38055555555555554],[1],[0],[0],[0.41703459998825565],['image'],1.3600001693703234e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,2,2,44,,,,,,,59.957741099991836,59.957741099991836,60.957702500003506,60.957702500003506,1,[0.00040889999945648015],[0.996822200002498],60.957702500003506,60.957702500003506,61.7705866000033,0.7965437999955611,-17.777777777777786,0.7968603999906918,[0.575925925925926],[-0.4425925925925926],[1],[0],[0],[0.4834536999987904],['image'],1.3199998647905886e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,3,3,11,,,,,,,63.741211200002,63.741211200002,64.7409547999996,64.7409547999996,1,[0.00036530000215861946],[0.9965871000022162],64.7409547999996,64.7409547999996,65.50601469998946,0.7484460999985458,-24.259259259259252,0.7472951999952784,[0.5009259259259259],[-0.412962962962963],[1],[0],[0],[0.5011945000005653],['image'],1.3299999409355223e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,4,4,21,,,,,,,67.4909301000007,67.4909301000007,68.49064029999136,68.49064029999136,1,[0.0003819999983534217],[0.9965195000113454],68.49064029999136,68.49064029999136,69.1388137999893,0.6320992999972077,-15.925925925925924,0.6289583999896422,[0.46296296296296297],[-0.40555555555555556],[1],[0],[0],[0.48379089999070857],['image'],1.2400007108226418e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,5,5,42,,,,,,,71.10750640000333,71.10750640000333,72.10768099999405,72.10768099999405,1,[0.00034729999606497586],[0.9967015000001993],72.10768099999405,72.10768099999405,72.92193909999332,0.7965418999956455,4.8148148148148096,0.7955048000003444,[0.5324074074074074],[-0.44351851851851853],[1],[0],[0],[0.6167770000029122],['image'],1.3999990187585354e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,6,6,36,,,,,,,75.02426049999485,75.02426049999485,76.02402489999076,76.02402489999076,1,[0.00038130000757519156],[0.9971439000073588],76.02402489999076,76.02402489999076,76.65522210000199,0.6150735999981407,-45.74074074074075,0.6136975999979768,[0.6277777777777778],[-0.39814814814814814],[1],[0],[0],[0.4022028999897884],['image'],1.3699987903237343e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,7,7,22,,,,,,,78.54072639999504,78.54072639999504,79.55353569998988,79.55353569998988,1,[0.0004310000076657161],[1.010979300001054],79.55353569998988,79.55353569998988,80.17184929999348,0.6130090999940876,-74.25925925925927,0.5997105999995256,[0.4898148148148148],[-0.4351851851851852],[1],[0],[0],[0.5350246000016341],['image'],1.750000228639692e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,8,8,25,,,,,,,82.18697670000256,82.18697670000256,83.18849639999098,83.18849639999098,1,[0.0003615000023273751],[0.9945128000108525],83.20355669999844,83.20355669999844,83.75519270000223,0.5481887999922037,-49.629629629629626,0.5474936999962665,[0.49537037037037035],[-0.3925925925925926],[1],[0],[0],[0.5817788000131259],['image'],1.2999997125007212e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
