Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,55.167157099815086,55.167157099815086,space,6.0164054001215845,,,,,,,,,,,,,,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,0,0,2,,,,,1.300009898841381e-05,1.300009898841381e-05,62.210619600024074,62.210619600024074,63.210126999998465,63.210126999998465,1,[0.0006264999974519014],[0.9900969997979701],64.90881779999472,78.42592592592592,1.6819670998957008,1.5799887478351593e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,1,1,34,,,,,,,66.7252571999561,66.7252571999561,67.72552019986324,67.72552019986324,1,[0.0003869000356644392],[0.9952790001407266],68.21082089981064,75.0,0.46326850005425513,1.3599870726466179e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,2,2,36,,,,,,,69.97532949992456,69.97532949992456,70.97544680000283,70.97544680000283,1,[0.00039519998244941235],[0.9925951000768691],71.57543689990416,91.2962962962963,0.5828944998793304,1.659989356994629e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,3,3,39,,,,,,,73.3587270998396,73.3587270998396,74.36076990002766,74.36076990002766,1,[0.0004773999098688364],[0.9936410998925567],74.77744859992526,87.03703703703704,0.39688809984363616,1.910002902150154e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,4,4,11,,,,,,,76.55891769984737,76.55891769984737,77.55873109982349,77.55873109982349,1,[0.0004475000314414501],[0.9939895998686552],78.22523749992251,82.96296296296296,0.6512753001879901,1.3499986380338669e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,5,5,3,,,,,,,80.07519109989516,80.07519109989516,81.07492619985715,81.07492619985715,1,[0.008911700220778584],[1.0087776000145823],81.52500519994646,84.62962962962963,0.4321540000382811,1.3299984857439995e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,6,6,8,,,,,,,83.84385890001431,83.84385890001431,84.8437941998709,84.8437941998709,1,[0.007955200038850307],[1.0097568000201136],85.44151299982332,77.22222222222221,0.5814980000723153,1.5399884432554245e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,7,7,21,,,,,,,87.27733149984851,87.27733149984851,,,1,[0.009931899840012193],[0.995397699996829],88.65823980001733,89.35185185185186,1.2659469998907298,1.4800112694501877e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,8,8,13,,,,,,,91.34375589992851,91.34375589992851,92.34187170001678,92.34187170001678,1,[0.00041779992170631886],[0.9939166998956352],92.92452909983695,100,0.5642693999689072,1.3499986380338669e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,9,9,33,,,,,,,94.95787789998576,94.95787789998576,,,2,"[0.009490800090134144, 0.8288728999905288]","[0.745048200013116, 0.995433900039643]",96.41386449988931,93.33333333333333,0.4368338999338448,1.4199875295162201e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,10,10,32,,,,,,,98.7436228999868,98.7436228999868,,,1,[0.00929860002361238],[1.0071143000386655],100.29126149998046,95.46296296296296,0.5145839999895543,1.3899989426136017e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,11,11,22,,,,,,,102.19107569986954,102.19107569986954,103.19097829982638,103.19097829982638,3,"[0.00042179995216429234, 0.72530009993352, 0.942166900029406]","[0.692314499989152, 0.8419880999717861, 0.9919501000549644]",103.92695469991304,92.5925925925926,0.7187051000073552,1.3999873772263527e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,12,12,6,,,,,,,105.77458469988778,105.77458469988778,106.77730299998075,106.77730299998075,2,"[0.00040559982880949974, 0.8902121998835355]","[0.6404510999564081, 0.9407744000200182]",107.22659079986624,87.77777777777777,0.43512929999269545,1.3299984857439995e-05,,,P12,001,2023-04-14_15h28.55.714,Human_uncanny,2022.2.5,60.016804693536,
