Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,63.64707490010187,63.64707490010187,space,4.81161869969219,,,,,,,,,,,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,0,0,59,,,,,1.4299992471933365e-05,1.4299992471933365e-05,69.47687670006417,69.47687670006417,1,[0.0006218000780791044],[0.9864656000863761],21.1111111111111,0.849154100054875,1.3800105080008507e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c43.jpeg,matched-32-cpi-low-c43.jpeg,0,1,1,81,,,,,,,73.50885100010782,73.50885100010782,1,[0.011245799949392676],[1.0106848999857903],39.44444444444443,0.6826519002206624,1.659989356994629e-05,74.50890550017357,74.50890550017357,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c12.jpeg,matched-c12.jpeg,0,2,2,47,,,,,,,77.1920417000074,77.1920417000074,1,[0.009093299973756075],[0.9978269999846816],38.33333333333334,0.9445668000262231,1.3800105080008507e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,3,3,70,,,,,,,80.94210750004277,80.94210750004277,1,[0.01247929991222918],[0.9951752000488341],25.0,0.6005021000746638,1.219986006617546e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,4,4,52,,,,,,,84.42543910001405,84.42543910001405,2,"[0.00043109990656375885, 0.10802330006845295]","[0.059609899995848536, 0.9762715001124889]",26.111111111111114,0.5669468000996858,1.71000137925148e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c71.jpeg,matched-8-cpi-low-c71.jpeg,0,5,5,24,,,,,,,87.82300100009888,87.82300100009888,1,[0.00044430000707507133],[0.9900789000093937],32.96296296296296,0.500234300037846,1.4499993994832039e-05,88.82299180002883,88.82299180002883,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,6,6,88,,,,,,,91.18927190010436,91.18927190010436,1,[0.008877200074493885],[1.0087870000861585],24.814814814814824,0.6326275002211332,1.910002902150154e-05,92.18930139997974,92.18930139997974,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,7,7,29,,,,,,,94.70604770001955,94.70604770001955,1,[0.00047559989616274834],[0.9754782998934388],-10.0,0.6003520998638123,1.850002445280552e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,8,8,80,,,,,,,98.13914230000228,98.13914230000228,1,[0.008419000077992678],[1.0080661999527365],-13.888888888888886,0.36550879990682006,1.7300015315413475e-05,99.13908190000802,99.13908190000802,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,9,9,6,,,,,,,101.32500510010868,101.32500510010868,1,[0.0006540999747812748],[0.9925244001206011],-6.666666666666671,0.5022738000843674,1.4600111171603203e-05,102.32265490014106,102.32265490014106,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,10,10,17,,,,,,,104.67254280019552,104.67254280019552,1,[0.007517999969422817],[1.0097378001082689],-8.333333333333343,0.636026700027287,1.3299984857439995e-05,105.67506160004996,105.67506160004996,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c67.jpeg,matched-c67.jpeg,0,11,11,7,,,,,,,108.13931010011584,108.13931010011584,1,[0.0004135998897254467],[0.9898411999456584],-45.18518518518518,0.382774299941957,1.550000160932541e-05,109.13894319999963,109.13894319999963,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c71.jpeg,matched-c71.jpeg,0,12,12,9,,,,,,,111.37470640009269,111.37470640009269,1,[0.0004453000146895647],[1.0074978999327868],29.814814814814838,0.4151871001813561,1.6900012269616127e-05,112.38909120019525,112.38909120019525,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,13,13,49,,,,,,,115.07449460006319,115.07449460006319,1,[0.011883300030604005],[1.009345900034532],-27.777777777777786,0.48355109989643097,1.5200115740299225e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,14,14,20,,,,,,,118.47237200010568,118.47237200010568,1,[0.008685600012540817],[0.9942351998761296],-19.629629629629633,0.7668266999535263,1.309998333454132e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,15,15,44,,,,,,,122.09095420013182,122.09095420013182,1,[0.0003929000813513994],[0.9918747001793236],8.518518518518519,0.8638979999814183,1.4099990949034691e-05,123.09105210006237,123.09105210006237,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,16,16,58,,,,,,,125.87229650001973,125.87229650001973,1,[0.011290299938991666],[0.9974722000770271],9.074074074074076,1.2784845000132918,1.2600095942616463e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
