Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,85.3662045999954,85.3662045999954,space,1.8499862000026042,,,,,,,,,,,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c71.jpeg,matched-32-cpi-low-c71.jpeg,0,0,0,39,,,,,1.2900010915473104e-05,1.2900010915473104e-05,88.25458490000165,88.25458490000165,1,[0.0005734000005759299],[0.9840160000021569],12.222222222222229,0.8338656999985687,1.4399993233382702e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,1,1,33,,,,,,,92.56304409999575,92.56304409999575,3,"[0.00896140000259038, 0.7094185000023572, 0.8759564999927534]","[0.6613272999966284, 0.7775580000015907, 0.9945512999984203]",-56.111111111111114,0.5329997000080766,1.2299991794861853e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg,0,2,2,87,,,,,,,96.29803299999912,96.29803299999912,2,"[0.0005426999996416271, 0.7747779000055743]","[0.5919604000082472, 0.9917622000066331]",-85.37037037037038,0.649768999996013,1.5999990864656866e-05,97.29813159999321,97.29813159999321,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,3,3,63,,,,,,,99.98172879999038,99.98172879999038,1,[0.8255362999916542],[0.9777676999947289],-100,0.8983599000057438,1.990000600926578e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,4,4,37,,,,,,,104.1671512999892,104.1671512999892,2,"[0.158130900003016, 0.32320569999865256]","[0.1711790999979712, 1.0216308000090066]",-19.629629629629633,0.8507723999937298,1.3299999409355223e-05,105.17958640000143,105.17958640000143,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,5,5,3,,,,,,,108.01463939998939,108.01463939998939,1,[0.007942399999592453],[1.0091090999922017],-21.66666666666667,0.7663883000059286,1.3900003978051245e-05,109.01292769999418,109.01292769999418,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,6,6,89,,,,,,,111.74603989999741,111.74603989999741,1,[0.0009929000079864636],[0.9919400000071619],1.1111111111111143,1.8980965999944601,1.5099998563528061e-05,112.74604810000164,112.74604810000164,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,7,7,72,,,,,,,116.86457839999639,116.86457839999639,2,"[0.008077699996647425, 0.4264538999996148]","[0.40944849999505095, 1.0098581999918679]",6.481481481481495,1.0499285999976564,1.3500000932253897e-05,117.86423219999415,117.86423219999415,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,8,8,41,,,,,,,120.89584679999098,120.89584679999098,1,[0.0005041999975219369],[0.9919737000018358],-12.592592592592595,0.5983172999985982,1.3600001693703234e-05,121.89595869999903,121.89595869999903,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
