Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,69.77485350007191,69.77485350007191,space,4.49854729976505,,,,,,,,,,,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,0,0,17,,,,,1.2899981811642647e-05,1.2899981811642647e-05,75.30704900017008,75.30704900017008,1,[0.0005417999345809221],[0.9830000000074506],45.55555555555556,0.9150673002004623,1.3299984857439995e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c33.jpeg,matched-c33.jpeg,0,1,1,53,,,,,,,79.33302909997292,79.33302909997292,2,"[0.009081800002604723, 0.5781096001155674]","[0.5449733999557793, 0.9930454001296312]",19.90740740740741,3.183876800118014,1.5700003132224083e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,2,2,43,,,,,,,85.63292170013301,85.63292170013301,1,[0.008783699944615364],[0.9943041000515223],42.87037037037037,0.531589400023222,1.700012944638729e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c66.jpeg,matched-8-cpi-low-c66.jpeg,0,3,3,21,,,,,,,89.16626550001092,89.16626550001092,1,[0.000448599923402071],[0.9900460001081228],27.962962962962962,0.43329229997470975,1.4199875295162201e-05,90.16633559996262,90.16633559996262,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,4,4,1,,,,,,,92.50174910016358,92.50174910016358,1,[0.010415200144052505],[0.9936850001104176],22.40740740740741,0.816941199824214,1.300009898841381e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,5,5,13,,,,,,,96.28528279997408,96.28528279997408,1,[0.007021399913355708],[1.0090238999109715],44.907407407407405,1.0996459000743926,1.4299992471933365e-05,97.28502209996805,97.28502209996805,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,6,6,0,,,,,,,100.33283550012857,100.33283550012857,1,[0.0006409999914467335],[0.9924447000958025],16.666666666666668,0.42229540017433465,2.0999927073717117e-05,101.33485570014454,101.33485570014454,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,7,7,28,,,,,,,103.70191020006314,103.70191020006314,1,[0.013193899998441339],[0.9983191001228988],50.0,0.4507487998344004,1.3199867680668831e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,8,8,83,,,,,,,107.33796190004796,107.33796190004796,1,[0.008890900062397122],[1.0091418998781592],34.351851851851855,0.48387239989824593,1.4099990949034691e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c71.jpeg,matched-32-cpi-low-c71.jpeg,0,9,9,39,,,,,,,110.7859428001102,110.7859428001102,1,[0.0004374000709503889],[1.0021542999893427],42.5,0.5998311000876129,1.3599870726466179e-05,111.79924880014732,111.79924880014732,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
