Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.57804719998967,21.57804719998967,space,0.574022500004503,,,,,,,,,,,,,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,0,0,72,,,,,1.5199999324977398e-05,1.5199999324977398e-05,23.17584050000005,23.17584050000005,24.17406379999011,24.17406379999011,1,[0.0005653999978676438],[0.9890688000014052],31.2962962962963,0.5997568000020692,1.340000017080456e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,1,1,88,,,,,,,27.772975500003668,27.772975500003668,28.77275329999975,28.77275329999975,1,[0.0003843000013148412],[0.9901377000060165],22.499999999999996,0.5311233999964315,1.270000939257443e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c72.jpeg,matched-32-cpi-low-c72.jpeg,0,2,2,40,,,,,,,31.205015300001833,31.205015300001833,32.20786169999337,32.20786169999337,1,[0.00048489999608136714],[0.9910043999989284],53.333333333333336,1.4129718000040157,1.2300006346777081e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,3,3,50,,,,,,,35.72486790000403,35.72486790000403,36.72516679999535,36.72516679999535,1,[0.009352099994430318],[1.0096377000008943],1.2962962962962954,1.9803022999985842,1.2599994079209864e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,4,4,51,,,,,,,41.35609279999335,41.35609279999335,,,1,[0.007643099990673363],[0.994700199997169],3.4259259259259265,0.7146134999929927,1.3500000932253897e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,5,5,45,,,,,,,45.02284150000196,45.02284150000196,46.0224867999932,46.0224867999932,1,[0.00045680000039283186],[0.9898719000048004],0.09259259259259411,1.1813031000056071,1.309999788645655e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c72.jpeg,matched-8-cpi-low-c72.jpeg,0,6,6,25,,,,,,,49.55798659998982,49.55798659998982,,,1,[0.009262999999918975],[1.005623100005323],28.425925925925927,0.4982482000050368,1.340000017080456e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c48.jpeg,matched-8-cpi-low-c48.jpeg,0,7,7,15,,,,,,,53.0541358999908,53.0541358999908,54.055616600002395,54.055616600002395,1,[0.0003842000005533919],[0.988741499997559],14.074074074074073,1.4340438999934122,1.2200005585327744e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg,0,8,8,67,,,,,,,57.52442839999276,57.52442839999276,,,3,"[0.00890070000605192, 0.8758127000037348, 0.906554999994114]","[0.8419885000039358, 0.8900507999933325, 0.9238331999949878]",4.351851851851851,0.6178713000117568,2.1200001356191933e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
